WBS ID,Element Name,External ID,Start Date,End Date,Actual Start,Actual End,Status,Progress,Phase,Discipline,Contractor,Notes
WBS-001,Basic Wall [620045],50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760d,2025-10-01,2025-10-15,2025-10-02,,In Progress,65,Foundation,Architectural,ABC Construction,Level 1 exterior walls
WBS-002,Structural Column [345221],a1b2c3d4-5678-90ab-cdef-1234567890ab,2025-10-05,2025-10-20,2025-10-05,,In Progress,40,Structure,Structural,XYZ Structural,Main building columns
WBS-003,Floor [789456],e5f6g7h8-9012-34ij-klmn-5678901234op,2025-10-10,2025-10-25,,,Not Started,0,Structure,Structural,XYZ Structural,Level 2 floor slab
WBS-004,Basic Roof [123789],q9r8s7t6-u5v4-w3x2-y1z0-abcdefgh1234,2025-11-01,2025-11-20,,,Not Started,0,Envelope,Architectural,ABC Construction,Main roof structure
WBS-005,Curtain Wall [456123],i8j7k6l5-m4n3-o2p1-q0r9-s8t7u6v5w4x3,2025-11-05,2025-11-25,,,Not Started,0,Envelope,Architectural,Glass & Glazing Co,Facade curtain wall system
WBS-006,HVAC Duct [789321],y2z1a0b9-c8d7-e6f5-g4h3-i2j1k0l9m8n7,2025-11-10,2025-12-05,,,Not Started,0,MEP,Mechanical,Mechanical Services Inc,Main air distribution
WBS-007,Electrical Panel [951753],o6p5q4r3-s2t1-u0v9-w8x7-y6z5a4b3c2d1,2025-11-15,2025-12-10,,,Not Started,0,MEP,Electrical,PowerTech Electric,Level 1 distribution panel
WBS-008,Plumbing Fixtures [357159],e0f9g8h7-i6j5-k4l3-m2n1-o0p9q8r7s6t5,2025-12-01,2025-12-20,,,Not Started,0,MEP,Plumbing,Waterworks Plumbing,Bathroom fixtures
WBS-009,Interior Partition [159357],u4v3w2x1-y0z9-a8b7-c6d5-e4f3g2h1i0j9,2025-12-05,2025-12-30,,,Not Started,0,Interior,Architectural,Interior Build Co,Office partition walls
WBS-010,Door [753951],k8l7m6n5-o4p3-q2r1-s0t9-u8v7w6x5y4z3,2025-12-10,2025-12-28,,,Not Started,0,Interior,Architectural,Door & Hardware Inc,Entry doors and hardware

